2019-04-23 16:12:20.952 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-04-23 16:12:21.051 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-04-23 16:12:21.053 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-04-23 16:12:21.054 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-04-23 16:12:20.943 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-04-23 16:12:20.943 addFisaPacientului, medic: 2990713170025, pacient: 2990713170025, FisaPacientului{Servicii{data=Fri Apr 12 00:00:00 EET 15}grupaSange='A2', rh='pozitiv'}
2019-04-23 16:12:20.943 addReteta, medic: 2990723170025, pacient: 2990723170025, Reteta{Servicii{data=Sat Apr 11 00:00:00 EET 16}medicamente=[bioflu, nurofen]}
2019-04-23 16:12:20.943 addFisaPacientului, medic: 2990723170025, pacient: 2990723170025, FisaPacientului{Servicii{data=Sat Apr 13 00:00:00 EET 15}grupaSange='B3', rh='pozitiv'}
2019-04-23 16:12:20.943 addConsultatie, medic: 2990713170045, pacient: 2990713170045, Consultatie{Servicii{data=Wed Apr 12 00:00:00 EET 19}manifestari=[febra, durere]}
2019-04-23 16:12:20.943 addAlergie, medic: 2990723170025, pacient: 2990723170025, Alergie{Boala{Servicii{data=Sun Apr 13 00:00:00 EET 10}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-04-23 16:12:20.943 addBoala, medic: 2990713170045, pacient: 2990713170045, Boala{Servicii{data=Sun Apr 14 00:00:00 EET 15}tip='infectioasa', nume='abces'}
2019-04-23 16:12:20.943 getOne, gelu
2019-04-23 16:12:33.149 addPacient, medic: 2990713170025, pacient: 2998121755785
2019-04-23 16:12:33.156 deletePacient, medic: 2990713170025, pacient: 2990713170024
2019-04-23 16:12:20.943 addBoala, medic: 2990713170025, pacient: 2990713170025, Boala{Servicii{data=Sat May 10 00:00:00 EEST 3913}tip='--', nume='--'}
2019-04-23 16:47:46.302 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-04-23 16:47:46.399 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-04-23 16:47:46.402 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-04-23 16:47:46.404 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-04-23 16:47:46.293 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-04-23 16:47:46.293 addFisaPacientului, medic: 2990713170025, pacient: 2990713170025, FisaPacientului{Servicii{data=Fri Apr 12 00:00:00 EET 15}grupaSange='A2', rh='pozitiv'}
2019-04-23 16:47:46.293 addReteta, medic: 2990723170025, pacient: 2990723170025, Reteta{Servicii{data=Sat Apr 11 00:00:00 EET 16}medicamente=[bioflu, nurofen]}
2019-04-23 16:47:46.293 addFisaPacientului, medic: 2990723170025, pacient: 2990723170025, FisaPacientului{Servicii{data=Sat Apr 13 00:00:00 EET 15}grupaSange='B3', rh='pozitiv'}
2019-04-23 16:47:46.293 addConsultatie, medic: 2990713170045, pacient: 2990713170045, Consultatie{Servicii{data=Wed Apr 12 00:00:00 EET 19}manifestari=[febra, durere]}
2019-04-23 16:47:46.293 addAlergie, medic: 2990723170025, pacient: 2990723170025, Alergie{Boala{Servicii{data=Sun Apr 13 00:00:00 EET 10}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-04-23 16:47:46.293 addBoala, medic: 2990713170045, pacient: 2990713170045, Boala{Servicii{data=Sun Apr 14 00:00:00 EET 15}tip='infectioasa', nume='abces'}
2019-04-23 16:47:46.293 getOne, gelu
2019-04-23 16:47:56.373 addPacient, medic: 2990713170025, pacient: 2998121755785
2019-04-23 16:47:56.376 deletePacient, medic: 2990713170025, pacient: 2990713170024
2019-04-23 16:47:46.293 addBoala, medic: 2990713170025, pacient: 2990713170025, Boala{Servicii{data=Sat May 10 00:00:00 EEST 3913}tip='--', nume='--'}
2019-04-23 16:49:45.081 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-04-23 16:49:45.179 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-04-23 16:49:45.183 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-04-23 16:49:45.186 addPacient, medic: 2990723170025, pacient: 2990813170023
2019-04-23 16:49:45.072 addReteta, medic: 2990713170025, pacient: 2990713170025, Reteta{Servicii{data=Tue Apr 12 00:00:00 EET 18}medicamente=[paracetamol, nurofen]}
2019-04-23 16:49:45.072 addFisaPacientului, medic: 2990713170025, pacient: 2990713170025, FisaPacientului{Servicii{data=Fri Apr 12 00:00:00 EET 15}grupaSange='A2', rh='pozitiv'}
2019-04-23 16:49:45.072 addReteta, medic: 2990723170025, pacient: 2990723170025, Reteta{Servicii{data=Sat Apr 11 00:00:00 EET 16}medicamente=[bioflu, nurofen]}
2019-04-23 16:49:45.072 addFisaPacientului, medic: 2990723170025, pacient: 2990723170025, FisaPacientului{Servicii{data=Sat Apr 13 00:00:00 EET 15}grupaSange='B3', rh='pozitiv'}
2019-04-23 16:49:45.072 addConsultatie, medic: 2990713170045, pacient: 2990713170045, Consultatie{Servicii{data=Wed Apr 12 00:00:00 EET 19}manifestari=[febra, durere]}
2019-04-23 16:49:45.072 addAlergie, medic: 2990723170025, pacient: 2990723170025, Alergie{Boala{Servicii{data=Sun Apr 13 00:00:00 EET 10}tip='respiratorie', nume='rinita alergica'}gradAlergie='slab'}
2019-04-23 16:49:45.072 addBoala, medic: 2990713170045, pacient: 2990713170045, Boala{Servicii{data=Sun Apr 14 00:00:00 EET 15}tip='infectioasa', nume='abces'}
2019-04-23 16:49:45.072 getOne, gelu
2019-04-23 16:50:40.448 addPacient, medic: 2990713170025, pacient: 2998121755785
2019-04-23 16:50:40.452 deletePacient, medic: 2990713170025, pacient: 2990713170024
2019-04-23 16:49:45.072 addBoala, medic: 2990713170025, pacient: 2990713170025, Boala{Servicii{data=Sat May 10 00:00:00 EEST 3913}tip='--', nume='--'}
2019-05-11 12:50:56.667 addPacient, medic: 2990713170025, pacient: 2990713170024
2019-05-11 12:50:56.752 addPacient, medic: 2990723170025, pacient: 2990813170021
2019-05-11 12:50:56.755 addPacient, medic: 2990713170045, pacient: 2990813170022
2019-05-11 12:50:56.757 addPacient, medic: 2990723170025, pacient: 2990813170023
